nvcc -arch=sm_35 -ptx smolyak_kernel.cu -DD=20 -DM=11521 -DN=10 -DSMAX=8 -DMU_MAX=3
Lab 1: 
  GPU1: Tesla K80
Lab 2: 
  GPU2: Tesla K80
Lab 3: 
  GPU3: Tesla K80
Lab 4: 
  GPU4: Tesla K80
loading B_inv_N=10_mu=3.mat ... done
Iter	GFLOPS	Memcpy_IN, MB/s	Memcpy_OUT, MB/s	collect	cpu	gemm	total	Runtime	Diff
4200	595.3 (27.6%)	1301.9 (0.2%)	6059.9 (0.8%)	32.8%	5.2%	12.6%	79.2%	2295.9	1.215655e-08
4300	623.1 (26.6%)	1340.1 (0.2%)	5931.1 (0.8%)	31.9%	5.4%	13.0%	78.0%	2295.7	9.752372e-09
4400	595.8 (27.9%)	1392.8 (0.2%)	5536.8 (0.9%)	32.3%	5.7%	12.6%	79.7%	2295.4	7.818357e-09
4500	601.9 (27.7%)	1261.9 (0.2%)	5744.8 (0.9%)	32.2%	5.8%	12.7%	79.4%	2295.0	6.264988e-09
4600	597.0 (27.8%)	1277.9 (0.2%)	5395.6 (0.9%)	32.1%	5.4%	12.8%	79.2%	2294.8	5.036652e-09
4700	624.5 (27.0%)	1303.7 (0.2%)	5670.1 (0.9%)	31.4%	5.7%	12.8%	78.0%	2293.9	4.038709e-09
4800	605.6 (28.0%)	1308.2 (0.2%)	5911.3 (0.9%)	31.3%	5.2%	12.8%	78.3%	2292.8	3.228120e-09
4900	607.0 (27.2%)	1088.6 (0.2%)	6134.1 (0.8%)	32.5%	5.7%	13.1%	79.6%	2292.8	2.592993e-09
5000	631.8 (26.0%)	1325.0 (0.2%)	5526.8 (0.9%)	32.5%	5.7%	12.6%	77.9%	2293.2	2.076053e-09
5100	636.3 (26.5%)	1111.7 (0.2%)	5901.4 (0.9%)	31.5%	5.2%	13.2%	77.5%	2292.3	1.672031e-09
5200	596.4 (27.0%)	1325.3 (0.2%)	5757.4 (0.8%)	32.1%	5.6%	13.8%	79.6%	2293.5	1.327365e-09
5300	594.8 (28.1%)	1305.1 (0.2%)	5237.2 (1.0%)	31.3%	5.6%	13.2%	79.4%	2293.0	1.064963e-09
5400	635.7 (26.3%)	1341.1 (0.2%)	6587.1 (0.8%)	31.3%	5.5%	13.4%	77.5%	2292.7	8.586378e-10
5500	640.2 (26.2%)	1256.6 (0.2%)	4900.6 (1.0%)	32.0%	5.2%	13.3%	78.0%	2292.1	6.961518e-10
5600	601.5 (28.0%)	1282.3 (0.2%)	5958.0 (0.8%)	31.2%	5.0%	13.8%	78.9%	2291.5	5.472403e-10
5700	596.9 (27.5%)	1367.0 (0.2%)	5683.5 (0.9%)	31.4%	5.3%	14.1%	79.3%	2291.9	4.482057e-10
5800	594.6 (27.4%)	1390.0 (0.2%)	5975.4 (0.8%)	31.1%	6.0%	13.5%	78.9%	2292.6	3.561404e-10
5900	619.5 (26.8%)	1324.8 (0.2%)	5970.5 (0.8%)	31.3%	5.5%	13.8%	78.3%	2292.5	2.846241e-10
6000	613.9 (27.6%)	1283.3 (0.2%)	5763.6 (0.9%)	31.8%	5.2%	13.0%	78.7%	2291.7	2.324965e-10
6100	591.9 (27.9%)	1259.7 (0.2%)	5370.4 (0.9%)	31.3%	4.9%	13.8%	79.1%	2291.8	1.861102e-10
6200	593.4 (27.8%)	1292.0 (0.2%)	5906.4 (0.8%)	31.8%	5.8%	13.2%	79.7%	2291.9	1.589381e-10
6300	593.2 (28.8%)	1053.8 (0.2%)	5830.1 (0.9%)	30.8%	5.6%	12.6%	78.9%	2290.8	1.383185e-10
6400	618.6 (26.9%)	1310.6 (0.2%)	5719.8 (0.9%)	31.9%	5.5%	12.8%	78.2%	2290.6	1.047040e-10
6500	595.8 (28.7%)	1400.7 (0.2%)	6211.1 (0.8%)	31.7%	4.9%	13.1%	79.4%	2289.5	9.321968e-11
N = 10	mu = 3	time = 2289.514277
